source,relative_path,doc_type,parser,parse_status,quality_status,ingest_status,pages_total,pages_parsed,ocr_pages,table_pages,empty_pages,chars_total,avg_chars_per_page,valid_char_ratio,garble_score,table_count,table_fact_count,table_review_count,artifact_dir,notes
"Aleman 等 - 2023 - Novel Liquor-Based Hot Sauce Physicochemical Attributes, Volatile Compounds, Sensory Evaluation, Co.pdf","papers/Aleman 等 - 2023 - Novel Liquor-Based Hot Sauce Physicochemical Attributes, Volatile Compounds, Sensory Evaluation, Co.pdf",文献,pdfplumber,ok,pass,ingested,14,42,0,3,0,55339,1317.6,0.9778,0.0222,3,25,0,parsed_docs/Aleman_等_-_2023_-_Novel_Liquor-Based_Hot_Sauce_Physicochemical_Attributes_Volati__53fac891,
Ali 等 - 2026 - Storage temperature and quality dynamics of sun-aged red date vinegar beverage.pdf,papers/Ali 等 - 2026 - Storage temperature and quality dynamics of sun-aged red date vinegar beverage.pdf,文献,pdfplumber,ok,pass,ingested,15,15,0,0,0,55694,3712.93,0.9959,0.0041,0,0,0,parsed_docs/Ali_等_-_2026_-_Storage_temperature_and_quality_dynamics_of_sun-aged_red_date_vin__4b81ec76,
"Ali等 - 2025 - Sun-aged red date vinegar-based beverage integrated analysis of fermentation, sensory, volatile, and bioactive properties.pdf","papers/Ali等 - 2025 - Sun-aged red date vinegar-based beverage integrated analysis of fermentation, sensory, volatile, and bioactive properties.pdf",文献,pdfplumber,ok,pass,ingested,14,77,0,6,0,91114,1183.3,0.9821,0.0179,6,57,0,parsed_docs/Ali等_-_2025_-_Sun-aged_red_date_vinegar-based_beverage_integrated_analysis_of_fe__ff24bb69,
Alkemade 等 - 2022 - The potential of alternative seed treatments to control anthracnose disease in white lupin.pdf,papers/Alkemade 等 - 2022 - The potential of alternative seed treatments to control anthracnose disease in white lupin.pdf,文献,pdfplumber,ok,pass,ingested,7,176,0,4,0,94916,539.3,0.9654,0.0346,4,165,0,parsed_docs/Alkemade_等_-_2022_-_The_potential_of_alternative_seed_treatments_to_control_anth__3ff9e6e2,
Altieri 等 - 2008 - Survival of planktonic and sessile Acetobacter cerevisiae.pdf,papers/Altieri 等 - 2008 - Survival of planktonic and sessile Acetobacter cerevisiae.pdf,文献,pdfplumber,ok,pass,ingested,6,81,0,2,0,38729,478.14,0.9625,0.0379,2,73,0,parsed_docs/Altieri_等_-_2008_-_Survival_of_planktonic_and_sessile_Acetobacter_cerevisiae__da99e3ad,
An - 2020 - The Method for Static Composting Treatment of the Landscaping Waste.pdf,papers/An - 2020 - The Method for Static Composting Treatment of the Landscaping Waste.pdf,文献,pdfplumber,ok,pass,ingested,8,16,0,2,0,42459,2653.69,0.9939,0.0106,2,6,0,parsed_docs/An_-_2020_-_The_Method_for_Static_Composting_Treatment_of_the_Landscaping_Waste__eb6b25d6,
Andrés-Barrao 等 - 2012 - Proteome analysis of Acetobacter pasteurianus during acetic acid fermentation.pdf,papers/Andrés-Barrao 等 - 2012 - Proteome analysis of Acetobacter pasteurianus during acetic acid fermentation.pdf,文献,pdfplumber,ok,pass,ingested,17,152,0,5,0,91728,603.47,0.9662,0.0345,8,127,4,parsed_docs/Andre_s-Barrao_等_-_2012_-_Proteome_analysis_of_Acetobacter_pasteurianus_during_a__0ded6bbf,
Andrés-Barrao 等 - 2013 - Rapid identification of acetic acid bacteria using MALDI-TOF mass spectrometry fingerprinting.pdf,papers/Andrés-Barrao 等 - 2013 - Rapid identification of acetic acid bacteria using MALDI-TOF mass spectrometry fingerprinting.pdf,文献,pdfplumber,ok,pass,ingested,7,146,0,3,0,70945,485.92,0.9601,0.0399,3,136,1,parsed_docs/Andre_s-Barrao_等_-_2013_-_Rapid_identification_of_acetic_acid_bacteria_using_MAL__c971cc29,
Andrés-Barrao 等 - 2016 - Metaproteomics and ultrastructure characterization of Komagataeibacter spp. involved in high-acid sp.pdf,papers/Andrés-Barrao 等 - 2016 - Metaproteomics and ultrastructure characterization of Komagataeibacter spp. involved in high-acid sp.pdf,文献,pdfplumber,ok,pass,ingested,11,87,0,2,0,71055,816.72,0.9756,0.0244,2,74,0,parsed_docs/Andre_s-Barrao_等_-_2016_-_Metaproteomics_and_ultrastructure_characterization_of___3ad0bfb4,
Ansar 等 - 2021 - Enhancement of bioethanol production from palm sap (Arenga pinnata (Wurmb) Merr) through optimizatio.pdf,papers/Ansar 等 - 2021 - Enhancement of bioethanol production from palm sap (Arenga pinnata (Wurmb) Merr) through optimizatio.pdf,文献,pdfplumber,ok,pass,ingested,7,61,0,2,0,40880,670.16,0.9718,0.0282,2,52,1,parsed_docs/Ansar_等_-_2021_-_Enhancement_of_bioethanol_production_from_palm_sap_Arenga_pinna__4b671718,
Aoki 等 - 2025 - Association between defecation status and the habit of eating vinegar-based dishes in community-dwel.pdf,papers/Aoki 等 - 2025 - Association between defecation status and the habit of eating vinegar-based dishes in community-dwel.pdf,文献,pdfplumber,ok,pass,ingested,9,112,0,5,0,86435,771.74,0.9277,0.0723,15,88,9,parsed_docs/Aoki_等_-_2025_-_Association_between_defecation_status_and_the_habit_of_eating_vi__99ee2459,
Araki 等 - 2020 - The Induction of Heat Shock Protein 70 after Oral Administration of Concentrated Brewed Rice Vinegar.pdf,papers/Araki 等 - 2020 - The Induction of Heat Shock Protein 70 after Oral Administration of Concentrated Brewed Rice Vinegar.pdf,文献,pdfplumber,ok,pass,ingested,3,58,0,2,0,24781,427.26,0.9619,0.0381,2,53,1,parsed_docs/Araki_等_-_2020_-_The_Induction_of_Heat_Shock_Protein_70_after_Oral_Administratio__0b125c50,
Arroyo-Cerezo等 - 2021 - Deep (offset) non-invasive Raman spectroscopy for the evaluation of food.pdf,papers/Arroyo-Cerezo等 - 2021 - Deep (offset) non-invasive Raman spectroscopy for the evaluation of food.pdf,文献,pdfplumber,ok,pass,ingested,8,76,0,3,0,73466,966.66,0.9732,0.0268,3,65,1,parsed_docs/Arroyo-Cerezo等_-_2021_-_Deep_offset_non-invasive_Raman_spectroscopy_for_the_eval__542e7f19,
Avanzi Barbosa Mascareli等 - 2023 - Spectralprint techniques coupled with chemometric tools for.pdf,papers/Avanzi Barbosa Mascareli等 - 2023 - Spectralprint techniques coupled with chemometric tools for.pdf,文献,pdfplumber,ok,pass,ingested,9,43,0,2,0,61666,1434.09,0.9628,0.0374,2,32,1,parsed_docs/Avanzi_Barbosa_Mascareli等_-_2023_-_Spectralprint_techniques_coupled_with_chemome__466259c5,
Ayuso 等 - 2024 - Improving the Nutritional Quality of Protein and Microbiota Effects in Additive- and Allergen-Free C.pdf,papers/Ayuso 等 - 2024 - Improving the Nutritional Quality of Protein and Microbiota Effects in Additive- and Allergen-Free C.pdf,文献,pdfplumber,ok,pass,ingested,17,31,0,2,0,66626,2149.23,0.9785,0.0217,3,11,1,parsed_docs/Ayuso_等_-_2024_-_Improving_the_Nutritional_Quality_of_Protein_and_Microbiota_Eff__8ebebfac,
"Ayyash 等 - 2012 - The effect of NaCl substitution with KCl on Akawi cheese Chemical composition, proteolysis, angiote.pdf","papers/Ayyash 等 - 2012 - The effect of NaCl substitution with KCl on Akawi cheese Chemical composition, proteolysis, angiote.pdf",文献,pdfplumber,ok,pass,ingested,14,140,0,7,0,82720,590.86,0.9586,0.0414,7,119,0,parsed_docs/Ayyash_等_-_2012_-_The_effect_of_NaCl_substitution_with_KCl_on_Akawi_cheese_Chemi__fe089963,
Bae 等 - 2021 - Effects of Lemon Extract Powder and Vinegar Powder on the Quality Properties of Naturally Cured Saus.pdf,papers/Bae 等 - 2021 - Effects of Lemon Extract Powder and Vinegar Powder on the Quality Properties of Naturally Cured Saus.pdf,文献,pdfplumber,ok,pass,ingested,17,230,0,9,0,121618,528.77,0.9579,0.0426,11,202,0,parsed_docs/Bae_等_-_2021_-_Effects_of_Lemon_Extract_Powder_and_Vinegar_Powder_on_the_Quality__aad4422a,
Baek 等 - 2014 - Characterization of Acetobacter pomorum KJY8 Isolated from Korean Traditional Vinegar.pdf,papers/Baek 等 - 2014 - Characterization of Acetobacter pomorum KJY8 Isolated from Korean Traditional Vinegar.pdf,文献,pdfplumber,ok,pass,ingested,6,38,0,3,0,24452,643.47,0.9725,0.0323,3,29,0,parsed_docs/Baek_等_-_2014_-_Characterization_of_Acetobacter_pomorum_KJY8_Isolated_from_Korea__dbe06e93,
Bagnulo 等 - 2025 - Integrated Characterization of Phoenix dactylifera L. Fruits and Their Fermented Products Volatilom.pdf,papers/Bagnulo 等 - 2025 - Integrated Characterization of Phoenix dactylifera L. Fruits and Their Fermented Products Volatilom.pdf,文献,pdfplumber,ok,pass,ingested,15,71,0,3,0,55118,776.31,0.968,0.032,4,52,1,parsed_docs/Bagnulo_等_-_2025_-_Integrated_Characterization_of_Phoenix_dactylifera_L._Fruits___b365a02a,
"Bai 等 - 2026 - Integrative microbiomics, metabolomics, and network pharmacology reveal microbial communities and fl.pdf","papers/Bai 等 - 2026 - Integrative microbiomics, metabolomics, and network pharmacology reveal microbial communities and fl.pdf",文献,pdfplumber,ok,pass,ingested,15,43,0,4,0,83348,1938.33,0.9786,0.0214,4,24,0,parsed_docs/Bai_等_-_2026_-_Integrative_microbiomics_metabolomics_and_network_pharmacology_re__26d6149d,
"Bai等 - 2026 - Unveiling the bioactive compounds and flavor profile of Shanxi aged vinegar An integrated approach combining non-targeted metabolomics, machine learning and molecular docking.pdf","papers/Bai等 - 2026 - Unveiling the bioactive compounds and flavor profile of Shanxi aged vinegar An integrated approach combining non-targeted metabolomics, machine learning and molecular docking.pdf",文献,pdfplumber,ok,pass,ingested,14,80,0,2,0,99748,1246.85,0.9873,0.0127,2,64,0,parsed_docs/Bai等_-_2026_-_Unveiling_the_bioactive_compounds_and_flavor_profile_of_Shanxi_age__530f049e,
Balkan和Yılmaz - 2022 - Efficacy of some washing solutions for removal of pesticide residues in lettuce.pdf,papers/Balkan和Yılmaz - 2022 - Efficacy of some washing solutions for removal of pesticide residues in lettuce.pdf,文献,pdfplumber,ok,pass,ingested,10,94,0,4,0,57050,606.91,0.965,0.0357,4,80,0,parsed_docs/Balkan和Y_lmaz_-_2022_-_Efficacy_of_some_washing_solutions_for_removal_of_pestici__67566977,
Baltaci 等 - 2024 - Vinegar production from different cherry laurel fruits and investigation of some of their physicoche.pdf,papers/Baltaci 等 - 2024 - Vinegar production from different cherry laurel fruits and investigation of some of their physicoche.pdf,文献,pdfplumber,ok,pass,ingested,11,263,0,6,0,124197,472.23,0.9546,0.0457,6,246,0,parsed_docs/Baltaci_等_-_2024_-_Vinegar_production_from_different_cherry_laurel_fruits_and_in__5f324a71,
Baua - 2024 - Development and Content Analysis of Lubeg (Syzygium lineatum).pdf,papers/Baua - 2024 - Development and Content Analysis of Lubeg (Syzygium lineatum).pdf,文献,pdfplumber,ok,pass,ingested,4,74,0,2,0,30208,408.22,0.9741,0.0259,2,68,0,parsed_docs/Baua_-_2024_-_Development_and_Content_Analysis_of_Lubeg_Syzygium_lineatum__cd0cfabf,
Beh 等 - 2017 - Anti-obesity and anti-inflammatory effects of synthetic acetic acid vinegar and Nipa vinegar on high.pdf,papers/Beh 等 - 2017 - Anti-obesity and anti-inflammatory effects of synthetic acetic acid vinegar and Nipa vinegar on high.pdf,文献,pdfplumber,ok,pass,ingested,9,98,0,3,0,56131,572.77,0.9704,0.0296,6,83,2,parsed_docs/Beh_等_-_2017_-_Anti-obesity_and_anti-inflammatory_effects_of_synthetic_acetic_ac__1525595c,
Bellesia和Tagliazucchi - 2014 - Cocoa brew inhibits in vitro α-glucosidase activity The role of polyphenols and high molecular weig.pdf,papers/Bellesia和Tagliazucchi - 2014 - Cocoa brew inhibits in vitro α-glucosidase activity The role of polyphenols and high molecular weig.pdf,文献,pdfplumber,ok,pass,ingested,7,7,0,0,0,34125,4875.0,0.9922,0.0078,0,0,0,parsed_docs/Bellesia和Tagliazucchi_-_2014_-_Cocoa_brew_inhibits_in_vitro_-glucosidase_activit__56f8e4e1,
Benzon 等 - 2025 - Pyroligneous acid influenced the bioavailability of heavy metals in contaminated paddy soil.pdf,papers/Benzon 等 - 2025 - Pyroligneous acid influenced the bioavailability of heavy metals in contaminated paddy soil.pdf,文献,pdfplumber,ok,pass,ingested,16,108,0,7,0,60276,558.11,0.9644,0.0383,15,77,7,parsed_docs/Benzon_等_-_2025_-_Pyroligneous_acid_influenced_the_bioavailability_of_heavy_meta__d0ec6c25,
"Bernardi 等 - 2025 - Physicochemical, microbiological, and sensorial characteristics of cooked, marinated, and vacuum-pac.pdf","papers/Bernardi 等 - 2025 - Physicochemical, microbiological, and sensorial characteristics of cooked, marinated, and vacuum-pac.pdf",文献,pdfplumber,ok,pass,ingested,10,27,0,1,0,37574,1391.63,0.9859,0.0141,2,15,0,parsed_docs/Bernardi_等_-_2025_-_Physicochemical_microbiological_and_sensorial_characteristic__df78bb67,
Bertan 等 - 2022 - Valorization of pineapple processing residues through acetification to produce specialty vinegars en.pdf,papers/Bertan 等 - 2022 - Valorization of pineapple processing residues through acetification to produce specialty vinegars en.pdf,文献,pdfplumber,ok,pass,ingested,15,342,0,7,0,154054,450.45,0.9532,0.0482,14,313,2,parsed_docs/Bertan_等_-_2022_-_Valorization_of_pineapple_processing_residues_through_acetific__08c7f486,
Björkman 等 - 2026 - Impact of pickling and brining on the perceptual and nutritional characteristics of sea lettuce (Ulv.pdf,papers/Björkman 等 - 2026 - Impact of pickling and brining on the perceptual and nutritional characteristics of sea lettuce (Ulv.pdf,文献,pdfplumber,ok,pass,ingested,11,212,0,7,0,132541,625.19,0.9505,0.053,8,193,1,parsed_docs/Bjo_rkman_等_-_2026_-_Impact_of_pickling_and_brining_on_the_perceptual_and_nutrit__d8397724,
Bonatsou 等 - 2018 - Evolution of Yeast Consortia during the Fermentation of Kalamata Natural Black Olives upon Two Initi.pdf,papers/Bonatsou 等 - 2018 - Evolution of Yeast Consortia during the Fermentation of Kalamata Natural Black Olives upon Two Initi.pdf,文献,pdfplumber,ok,pass,ingested,13,13,0,0,0,43695,3361.15,0.9946,0.0054,0,0,0,parsed_docs/Bonatsou_等_-_2018_-_Evolution_of_Yeast_Consortia_during_the_Fermentation_of_Kala__03bdccf9,
Boondaeng 等 - 2025 - Optimization of Agave-based pineapple vinegar fermentation through sequential fermentation and chemi.pdf,papers/Boondaeng 等 - 2025 - Optimization of Agave-based pineapple vinegar fermentation through sequential fermentation and chemi.pdf,文献,pdfplumber,ok,pass,ingested,8,25,0,4,0,46410,1856.4,0.9822,0.0178,4,13,0,parsed_docs/Boondaeng_等_-_2025_-_Optimization_of_Agave-based_pineapple_vinegar_fermentation___ba677477,
Bordiga 等 - 2023 - Characterisation of Diospyros kaki (persimmon) vinegars produced with different microorganisms.pdf,papers/Bordiga 等 - 2023 - Characterisation of Diospyros kaki (persimmon) vinegars produced with different microorganisms.pdf,文献,pdfplumber,ok,pass,ingested,9,123,0,4,0,86705,704.92,0.972,0.0293,4,110,0,parsed_docs/Bordiga_等_-_2023_-_Characterisation_of_Diospyros_kaki_persimmon_vinegars_produce__85bf20dd,
Bordiga等 - 2023 - Characterisation of Diospyros kaki (persimmon) vinegars produced with.pdf,papers/Bordiga等 - 2023 - Characterisation of Diospyros kaki (persimmon) vinegars produced with.pdf,文献,pdfplumber,ok,pass,ingested,9,123,0,4,0,86705,704.92,0.972,0.0293,4,110,0,parsed_docs/Bordiga等_-_2023_-_Characterisation_of_Diospyros_kaki_persimmon_vinegars_produced__fbe2d251,
