source,relative_path,doc_type,parser,parse_status,quality_status,ingest_status,pages_total,pages_parsed,ocr_pages,table_pages,empty_pages,chars_total,avg_chars_per_page,valid_char_ratio,garble_score,table_count,table_fact_count,table_review_count,artifact_dir,notes
Li 等 - 2022 - Lactobacillus fermentum as a new inhibitor to control advanced glycation end-product formation durin.pdf,papers/Li 等 - 2022 - Lactobacillus fermentum as a new inhibitor to control advanced glycation end-product formation durin.pdf,文献,pdfplumber,ok,pass,ingested,10,92,0,4,0,67280,731.3,0.9651,0.0349,11,71,7,parsed_docs/Li_等_-_2022_-_Lactobacillus_fermentum_as_a_new_inhibitor_to_control_advanced_gly__e97d0f61,
Li 等 - 2022 - The dynamics of microbial community and flavor metabolites during the acetic acid fermentation of Ho.pdf,papers/Li 等 - 2022 - The dynamics of microbial community and flavor metabolites during the acetic acid fermentation of Ho.pdf,文献,pdfplumber,ok,pass,ingested,12,12,0,0,0,53449,4454.08,0.9906,0.0095,0,0,0,parsed_docs/Li_等_-_2022_-_The_dynamics_of_microbial_community_and_flavor_metabolites_during___c4c92170,
Li 等 - 2023 - Insight into the acid tolerance mechanism of Acetilactobacillus jinshanensis subsp. aerogenes Z-1.pdf,papers/Li 等 - 2023 - Insight into the acid tolerance mechanism of Acetilactobacillus jinshanensis subsp. aerogenes Z-1.pdf,文献,pdfplumber,ok,pass,ingested,10,93,0,2,0,56245,604.78,0.9773,0.0232,4,79,1,parsed_docs/Li_等_-_2023_-_Insight_into_the_acid_tolerance_mechanism_of_Acetilactobacillus_ji__2b7fb7a8,
Li 等 - 2023 - Metabolomic analysis of the effects of a mixed culture of Saccharomyces cerevisiae and Lactiplantiba.pdf,papers/Li 等 - 2023 - Metabolomic analysis of the effects of a mixed culture of Saccharomyces cerevisiae and Lactiplantiba.pdf,文献,pdfplumber,ok,pass,ingested,14,70,0,2,0,66812,954.46,0.9912,0.009,2,54,0,parsed_docs/Li_等_-_2023_-_Metabolomic_analysis_of_the_effects_of_a_mixed_culture_of_Saccharo__fe4905fc,
Liao等 - 2025 - Source Tracing of Raw Material Components in Wood Vinegar Distillation Process Based on Machine Learning and Aspen Simulation.pdf,papers/Liao等 - 2025 - Source Tracing of Raw Material Components in Wood Vinegar Distillation Process Based on Machine Learning and Aspen Simulation.pdf,文献,pdfplumber,ok,pass,ingested,16,17,0,1,0,56307,3312.18,0.9961,0.0041,1,0,1,parsed_docs/Liao等_-_2025_-_Source_Tracing_of_Raw_Material_Components_in_Wood_Vinegar_Distill__d83140f9,
Linder等 - 2016 - Mobile Diagnostics Based on Motion A Close Look at Motility Patterns in the Schistosome Life Cycle.pdf,papers/Linder等 - 2016 - Mobile Diagnostics Based on Motion A Close Look at Motility Patterns in the Schistosome Life Cycle.pdf,文献,pdfplumber,ok,pass,ingested,22,135,0,3,0,96537,715.09,0.979,0.021,3,110,0,parsed_docs/Linder等_-_2016_-_Mobile_Diagnostics_Based_on_Motion_A_Close_Look_at_Motility_Pat__a94cec4c,
Liu 等 - 2019 - Study on the nutritional value and ruminal degradation characteristics of fermented waste vinegar re.pdf,papers/Liu 等 - 2019 - Study on the nutritional value and ruminal degradation characteristics of fermented waste vinegar re.pdf,文献,pdfplumber,ok,pass,ingested,6,56,0,1,0,36035,643.48,0.9758,0.0242,1,49,0,parsed_docs/Liu_等_-_2019_-_Study_on_the_nutritional_value_and_ruminal_degradation_characteri__0fce4ad5,
Liu 等 - 2020 - Study on the Conditions of Pretreating Vinegar Residue with Sodium Hydroxide for Simultaneous Saccha.pdf,papers/Liu 等 - 2020 - Study on the Conditions of Pretreating Vinegar Residue with Sodium Hydroxide for Simultaneous Saccha.pdf,文献,pdfplumber,ok,pass,ingested,8,17,0,4,0,28471,1674.76,0.9882,0.0119,4,5,1,parsed_docs/Liu_等_-_2020_-_Study_on_the_Conditions_of_Pretreating_Vinegar_Residue_with_Sodiu__6da4656b,
Liu 等 - 2021 - Enzymatic degradation of polysaccharides in Chinese vinegar residue to produce alcohol and xylose.pdf,papers/Liu 等 - 2021 - Enzymatic degradation of polysaccharides in Chinese vinegar residue to produce alcohol and xylose.pdf,文献,pdfplumber,ok,pass,ingested,9,18,0,5,0,31467,1748.17,0.9659,0.0342,9,0,9,parsed_docs/Liu_等_-_2021_-_Enzymatic_degradation_of_polysaccharides_in_Chinese_vinegar_resid__a4bfdf9e,
Liu 等 - 2021 - Manufacture of Mikania micrantha vinegar and investigation of its repellent activity for Forcipomyia.pdf,papers/Liu 等 - 2021 - Manufacture of Mikania micrantha vinegar and investigation of its repellent activity for Forcipomyia.pdf,文献,pdfplumber,ok,pass,ingested,19,348,0,8,0,109313,314.12,0.954,0.046,17,312,2,parsed_docs/Liu_等_-_2021_-_Manufacture_of_Mikania_micrantha_vinegar_and_investigation_of_its__7b7c071f,
Liu 等 - 2022 - Osmotic stress tolerance and transcriptome analysis of Gluconobacter oxydans to extra-high titers of.pdf,papers/Liu 等 - 2022 - Osmotic stress tolerance and transcriptome analysis of Gluconobacter oxydans to extra-high titers of.pdf,文献,pdfplumber,ok,pass,ingested,11,76,0,1,0,49632,653.05,0.9777,0.0223,1,64,0,parsed_docs/Liu_等_-_2022_-_Osmotic_stress_tolerance_and_transcriptome_analysis_of_Gluconobac__b964fcb1,
Liu 等 - 2023 - Exploring the role of Sichuan Baoning vinegar microbiota and the association with volatile flavor co.pdf,papers/Liu 等 - 2023 - Exploring the role of Sichuan Baoning vinegar microbiota and the association with volatile flavor co.pdf,文献,pdfplumber,ok,pass,ingested,10,60,0,2,0,45775,762.92,0.9612,0.0388,3,47,0,parsed_docs/Liu_等_-_2023_-_Exploring_the_role_of_Sichuan_Baoning_vinegar_microbiota_and_the___ade338ba,
Liu 等 - 2025 - Uncovering the microbial community dynamics and metabolic pathways of primary organic acids in Sichu.pdf,papers/Liu 等 - 2025 - Uncovering the microbial community dynamics and metabolic pathways of primary organic acids in Sichu.pdf,文献,pdfplumber,ok,pass,ingested,11,81,0,5,0,56808,701.33,0.9796,0.0205,5,65,0,parsed_docs/Liu_等_-_2025_-_Uncovering_the_microbial_community_dynamics_and_metabolic_pathway__f6684082,
"Liu等 - 2013 - Comparison of random forest, support vector machine and back propagation neural network for electronic tongue data classification.pdf","papers/Liu等 - 2013 - Comparison of random forest, support vector machine and back propagation neural network for electronic tongue data classification.pdf",文献,pdfplumber,ok,pass,ingested,11,125,0,6,0,104033,832.26,0.9747,0.0258,6,108,1,parsed_docs/Liu等_-_2013_-_Comparison_of_random_forest_support_vector_machine_and_back_propag__01a6fb2d,
Li等 - 2025 - Co-decoding dynamics in volatiles and sensory profiles of Zhaiji millet vinegar during aging by integrating multiple flavor characterization techniques and chemometrics.pdf,papers/Li等 - 2025 - Co-decoding dynamics in volatiles and sensory profiles of Zhaiji millet vinegar during aging by integrating multiple flavor characterization techniques and chemometrics.pdf,文献,pdfplumber,ok,pass,ingested,13,13,0,0,0,59927,4609.77,0.9961,0.0039,0,0,0,parsed_docs/Li等_-_2025_-_Co-decoding_dynamics_in_volatiles_and_sensory_profiles_of_Zhaiji_mi__1d09250f,
Loyola 等 - 2023 - Vinegar elaboration from cherry fruit discard (Prunus cerasus L.).pdf,papers/Loyola 等 - 2023 - Vinegar elaboration from cherry fruit discard (Prunus cerasus L.).pdf,文献,pdfplumber,ok,pass,ingested,6,90,0,3,0,49235,547.06,0.9553,0.0447,5,79,2,parsed_docs/Loyola_等_-_2023_-_Vinegar_elaboration_from_cherry_fruit_discard_Prunus_cerasus_L__ecfbc198,
Lu 等 - 2018 - Effect of fermentation modes on nutritional and volatile compounds of Huyou vinegar.pdf,papers/Lu 等 - 2018 - Effect of fermentation modes on nutritional and volatile compounds of Huyou vinegar.pdf,文献,pdfplumber,ok,pass,ingested,10,54,0,3,0,38574,714.33,0.9687,0.0313,3,41,1,parsed_docs/Lu_等_-_2018_-_Effect_of_fermentation_modes_on_nutritional_and_volatile_compounds__0bfb5776,
Luu 等 - 2021 - Apple cider vinegar soaks do not alter the skin bacterial microbiome in atopic dermatitis.pdf,papers/Luu 等 - 2021 - Apple cider vinegar soaks do not alter the skin bacterial microbiome in atopic dermatitis.pdf,文献,pdfplumber,ok,pass,ingested,15,193,0,4,0,71250,369.17,0.9322,0.0678,10,168,2,parsed_docs/Luu_等_-_2021_-_Apple_cider_vinegar_soaks_do_not_alter_the_skin_bacterial_microbi__da9e8ed7,
Luzón-Quintana 等 - 2021 - Biotechnological Processes in Fruit Vinegar Production.pdf,papers/Luzón-Quintana 等 - 2021 - Biotechnological Processes in Fruit Vinegar Production.pdf,文献,pdfplumber,ok,pass,ingested,23,23,0,0,0,85045,3697.61,0.9883,0.0117,0,0,0,parsed_docs/Luzo_n-Quintana_等_-_2021_-_Biotechnological_Processes_in_Fruit_Vinegar_Productio__a4b91c8f,
Lvova等 - 2018 - Electronic Tongue for Brand Uniformity Control A Case Study of Apulian Red Wines Recognition and Defects Evaluation.pdf,papers/Lvova等 - 2018 - Electronic Tongue for Brand Uniformity Control A Case Study of Apulian Red Wines Recognition and Defects Evaluation.pdf,文献,pdfplumber,ok,pass,ingested,12,32,0,2,0,43724,1366.38,0.9887,0.0115,2,18,0,parsed_docs/Lvova等_-_2018_-_Electronic_Tongue_for_Brand_Uniformity_Control_A_Case_Study_of_A__587ddf10,
Ma 等 - 2015 - Gasification of Rice Husk in a Downdraft Gasifier The Effect of Equivalence Ratio on the Gasificati.pdf,papers/Ma 等 - 2015 - Gasification of Rice Husk in a Downdraft Gasifier The Effect of Equivalence Ratio on the Gasificati.pdf,文献,pdfplumber,ok,pass,ingested,15,301,0,8,0,82998,275.74,0.9551,0.0449,18,268,1,parsed_docs/Ma_等_-_2015_-_Gasification_of_Rice_Husk_in_a_Downdraft_Gasifier_The_Effect_of_Eq__599eddb5,
Ma 等 - 2019 - Nutritional properties and biological activities of kiwifruit (Actinidia) and kiwifruit products und.pdf,papers/Ma 等 - 2019 - Nutritional properties and biological activities of kiwifruit (Actinidia) and kiwifruit products und.pdf,文献,pdfplumber,ok,pass,ingested,17,60,0,2,0,74556,1242.6,0.9867,0.0134,2,41,0,parsed_docs/Ma_等_-_2019_-_Nutritional_properties_and_biological_activities_of_kiwifruit_Acti__8dacd50d,
Ma 等 - 2022 - Experimental study on fluidization characteristics of vinegar residue in a vibrated fluidized bed.pdf,papers/Ma 等 - 2022 - Experimental study on fluidization characteristics of vinegar residue in a vibrated fluidized bed.pdf,文献,pdfplumber,ok,pass,ingested,9,9,0,0,0,30166,3351.78,0.9919,0.0081,0,0,0,parsed_docs/Ma_等_-_2022_-_Experimental_study_on_fluidization_characteristics_of_vinegar_resi__b5c3d1b7,
Magalhães-Guedes 等 - 2018 - Laser biosensor use for the microbial metabolic activity assessment of kefir vinegar.pdf,papers/Magalhães-Guedes 等 - 2018 - Laser biosensor use for the microbial metabolic activity assessment of kefir vinegar.pdf,文献,pdfplumber,ok,pass,ingested,5,5,0,0,0,14777,2955.4,0.9933,0.0067,0,0,0,parsed_docs/Magalha_es-Guedes_等_-_2018_-_Laser_biosensor_use_for_the_microbial_metabolic_act__7115d09d,
Mahmoud 等 - 2024 - Apple cider vinegar exhibits promising antibiofilm activity against multidrug-resistant Bacillus cer.pdf,papers/Mahmoud 等 - 2024 - Apple cider vinegar exhibits promising antibiofilm activity against multidrug-resistant Bacillus cer.pdf,文献,pdfplumber,ok,pass,ingested,14,370,0,9,0,136615,369.23,0.959,0.0427,20,336,4,parsed_docs/Mahmoud_等_-_2024_-_Apple_cider_vinegar_exhibits_promising_antibiofilm_activity_a__74cfd990,
Malakul 等 - 2022 - Novel Coconut Vinegar Attenuates Hepatic and Vascular Oxidative Stress in Rats Fed a High-Cholestero.pdf,papers/Malakul 等 - 2022 - Novel Coconut Vinegar Attenuates Hepatic and Vascular Oxidative Stress in Rats Fed a High-Cholestero.pdf,文献,pdfplumber,ok,pass,ingested,13,56,0,1,0,61707,1101.91,0.9861,0.0141,1,42,0,parsed_docs/Malakul_等_-_2022_-_Novel_Coconut_Vinegar_Attenuates_Hepatic_and_Vascular_Oxidati__f564201d,
Malfeito-Ferreira 等 - 2024 - Investigating the Influence of Vessel Shape on Spontaneous Fermentation in Winemaking.pdf,papers/Malfeito-Ferreira 等 - 2024 - Investigating the Influence of Vessel Shape on Spontaneous Fermentation in Winemaking.pdf,文献,pdfplumber,ok,pass,ingested,26,112,0,6,0,120098,1072.3,0.9658,0.0344,6,80,0,parsed_docs/Malfeito-Ferreira_等_-_2024_-_Investigating_the_Influence_of_Vessel_Shape_on_Spon__0ebd8024,
"Mansor, A. B.和Mokhtar, S. I. B. - 2023 - Isolation and molecular identification of ethanol-tolerant Acetobacter species from Lansium domestic.pdf","papers/Mansor, A. B.和Mokhtar, S. I. B. - 2023 - Isolation and molecular identification of ethanol-tolerant Acetobacter species from Lansium domestic.pdf",文献,pdfplumber,ok,pass,ingested,9,36,0,5,0,37529,1042.47,0.9829,0.0178,5,22,0,parsed_docs/Mansor_A._B.和Mokhtar_S._I._B._-_2023_-_Isolation_and_molecular_identification_of__266952dd,
Marič 等 - 2020 - Description of Komagataeibacter melaceti sp. nov. and Komagataeibacter melomenusus sp. nov. Isolated.pdf,papers/Marič 等 - 2020 - Description of Komagataeibacter melaceti sp. nov. and Komagataeibacter melomenusus sp. nov. Isolated.pdf,文献,pdfplumber,ok,pass,ingested,16,59,0,1,0,71408,1210.31,0.9822,0.0188,1,42,0,parsed_docs/Maric_等_-_2020_-_Description_of_Komagataeibacter_melaceti_sp._nov._and_Komagatae__e31476ed,
Markkinen 等 - 2021 - Impact of malolactic fermentation with Lactobacillus plantarum on volatile compounds of sea buckthor.pdf,papers/Markkinen 等 - 2021 - Impact of malolactic fermentation with Lactobacillus plantarum on volatile compounds of sea buckthor.pdf,文献,pdfplumber,ok,pass,ingested,18,209,0,7,0,118533,567.14,0.9637,0.0364,7,184,1,parsed_docs/Markkinen_等_-_2021_-_Impact_of_malolactic_fermentation_with_Lactobacillus_planta__4d8f5362,
Marot-Lassauzaie 等 - 2021 - Spectrum of Protein Location in Proteomes Captures Evolutionary Relationship Between Species.pdf,papers/Marot-Lassauzaie 等 - 2021 - Spectrum of Protein Location in Proteomes Captures Evolutionary Relationship Between Species.pdf,文献,pdfplumber,ok,pass,ingested,10,12,0,2,0,45870,3822.5,0.9862,0.0139,2,0,1,parsed_docs/Marot-Lassauzaie_等_-_2021_-_Spectrum_of_Protein_Location_in_Proteomes_Captures_E__fd0d02e3,
Marques 等 - 2010 - Padrões de identidade e qualidade de fermentados acéticos comerciais de frutas e vegetais.pdf,papers/Marques 等 - 2010 - Padrões de identidade e qualidade de fermentados acéticos comerciais de frutas e vegetais.pdf,文献,pdfplumber,ok,pass,ingested,8,8,0,0,0,38323,4790.38,0.9656,0.0344,0,0,0,parsed_docs/Marques_等_-_2010_-_Padro_es_de_identidade_e_qualidade_de_fermentados_ace_ticos_c__18992d83,
Marques等 - 2025 - Unveiling Port wine vinegar A comprehensive study on chemical and sensory profile.pdf,papers/Marques等 - 2025 - Unveiling Port wine vinegar A comprehensive study on chemical and sensory profile.pdf,文献,pdfplumber,ok,pass,ingested,11,170,0,7,0,118455,696.79,0.9452,0.0549,7,152,1,parsed_docs/Marques等_-_2025_-_Unveiling_Port_wine_vinegar_A_comprehensive_study_on_chemical___11e3590c,
"Mărgăoan等 - 2020 - Impact of Fermentation Processes on the Bioactive Profile and Health-Promoting Properties of Bee Bread, Mead and Honey Vinegar.pdf","papers/Mărgăoan等 - 2020 - Impact of Fermentation Processes on the Bioactive Profile and Health-Promoting Properties of Bee Bread, Mead and Honey Vinegar.pdf",文献,pdfplumber,ok,pass,ingested,34,199,0,8,0,139951,703.27,0.9692,0.0337,8,157,2,parsed_docs/Ma_rga_oan等_-_2020_-_Impact_of_Fermentation_Processes_on_the_Bioactive_Profile_a__ec3b5691,
Medeiros 等 - 2019 - EFFECT OF PYROLYSIS HEATING RATE ON THE CHEMICAL COMPOSITION OF WOOD VINEGAR FROM EUCALYPTUS UROGRAN.pdf,papers/Medeiros 等 - 2019 - EFFECT OF PYROLYSIS HEATING RATE ON THE CHEMICAL COMPOSITION OF WOOD VINEGAR FROM EUCALYPTUS UROGRAN.pdf,文献,pdfplumber,ok,pass,ingested,11,33,0,4,0,47135,1428.33,0.9734,0.0266,4,18,0,parsed_docs/Medeiros_等_-_2019_-_EFFECT_OF_PYROLYSIS_HEATING_RATE_ON_THE_CHEMICAL_COMPOSITION__52ea4ad0,
Mendelson 等 - 2023 - Kombucha tea as an anti-hyperglycemic agent in humans with diabetes – a randomized controlled pilot.pdf,papers/Mendelson 等 - 2023 - Kombucha tea as an anti-hyperglycemic agent in humans with diabetes – a randomized controlled pilot.pdf,文献,pdfplumber,ok,pass,ingested,10,91,0,2,0,62096,682.37,0.9808,0.0193,8,73,1,parsed_docs/Mendelson_等_-_2023_-_Kombucha_tea_as_an_anti-hyperglycemic_agent_in_humans_with___56167959,
Meng 等 - 2022 - Monascus vinegar alleviates high-fat-diet-induced inflammation in rats by regulating the NF-κB and P.pdf,papers/Meng 等 - 2022 - Monascus vinegar alleviates high-fat-diet-induced inflammation in rats by regulating the NF-κB and P.pdf,文献,pdfplumber,ok,pass,ingested,11,151,0,6,0,89857,595.08,0.9465,0.0537,6,134,1,parsed_docs/Meng_等_-_2022_-_Monascus_vinegar_alleviates_high-fat-diet-induced_inflammation_i__98d4ef6d,
Meng 等 - 2025 - The protective effects of fermented vinegar on acute alcohol-induced hepatic and neuro-toxicity by r.pdf,papers/Meng 等 - 2025 - The protective effects of fermented vinegar on acute alcohol-induced hepatic and neuro-toxicity by r.pdf,文献,pdfplumber,ok,pass,ingested,13,72,0,1,0,74828,1039.28,0.9822,0.0178,1,58,0,parsed_docs/Meng_等_-_2025_-_The_protective_effects_of_fermented_vinegar_on_acute_alcohol-ind__a1780df5,
Menozzi 等 - 2024 - Comparison of Different Spectral Ranges to Monitor Alcoholic and Acetic Fermentation of Red Grape Mu.pdf,papers/Menozzi 等 - 2024 - Comparison of Different Spectral Ranges to Monitor Alcoholic and Acetic Fermentation of Red Grape Mu.pdf,文献,pdfplumber,ok,pass,ingested,12,66,0,3,0,49443,749.14,0.9676,0.0324,3,51,1,parsed_docs/Menozzi_等_-_2024_-_Comparison_of_Different_Spectral_Ranges_to_Monitor_Alcoholic___9c5b4a5c,
Mizzi 等 - 2022 - Selection of Acetic Acid Bacterial Strains and Vinegar Production From Local Maltese Food Sources.pdf,papers/Mizzi 等 - 2022 - Selection of Acetic Acid Bacterial Strains and Vinegar Production From Local Maltese Food Sources.pdf,文献,pdfplumber,ok,pass,ingested,13,28,0,1,0,64235,2294.11,0.9913,0.0087,1,14,0,parsed_docs/Mizzi_等_-_2022_-_Selection_of_Acetic_Acid_Bacterial_Strains_and_Vinegar_Producti__cb235c29,
Mohamad 等 - 2017 - Dietary coconut water vinegar for improvement of obesity-associated inflammation in high-fat-diet-tr.pdf,papers/Mohamad 等 - 2017 - Dietary coconut water vinegar for improvement of obesity-associated inflammation in high-fat-diet-tr.pdf,文献,pdfplumber,ok,pass,ingested,10,48,0,1,0,46928,977.67,0.9802,0.0199,1,37,0,parsed_docs/Mohamad_等_-_2017_-_Dietary_coconut_water_vinegar_for_improvement_of_obesity-asso__ca311608,
Mohamad 等 - 2019 - Apoptosis and metastasis inhibitory potential of pineapple vinegar against mouse mammary gland cells.pdf,papers/Mohamad 等 - 2019 - Apoptosis and metastasis inhibitory potential of pineapple vinegar against mouse mammary gland cells.pdf,文献,pdfplumber,ok,pass,ingested,13,13,0,0,0,48278,3713.69,0.9917,0.009,0,0,0,parsed_docs/Mohamad_等_-_2019_-_Apoptosis_and_metastasis_inhibitory_potential_of_pineapple_vi__3453b4cd,
Mohamad 等 - 2019 - In vitro and in vivo antitumour effects of coconut water vinegar on 4T1 breast cancer cells.pdf,papers/Mohamad 等 - 2019 - In vitro and in vivo antitumour effects of coconut water vinegar on 4T1 breast cancer cells.pdf,文献,pdfplumber,ok,pass,ingested,11,65,0,1,0,54589,839.83,0.9859,0.0144,1,53,0,parsed_docs/Mohamad_等_-_2019_-_In_vitro_and_in_vivo_antitumour_effects_of_coconut_water_vine__e1974680,
Molelekoa 等 - 2018 - Potential of marula (Sclerocarya birrea subsp. caffra) waste for the production of vinegar through s.pdf,papers/Molelekoa 等 - 2018 - Potential of marula (Sclerocarya birrea subsp. caffra) waste for the production of vinegar through s.pdf,文献,pdfplumber,ok,pass,ingested,6,49,0,3,0,45549,929.57,0.9633,0.0367,9,34,2,parsed_docs/Molelekoa_等_-_2018_-_Potential_of_marula_Sclerocarya_birrea_subsp._caffra_waste___b363a45f,
Mota等 - 2024 - Exploring Microbial Dynamics The Interaction between Yeasts and Acetic Acid Bacteria in Port Wine Vinegar and Its Implications on Chemical Composition and Sensory Acceptance.pdf,papers/Mota等 - 2024 - Exploring Microbial Dynamics The Interaction between Yeasts and Acetic Acid Bacteria in Port Wine Vinegar and Its Implications on Chemical Composition and Sensory Acceptance.pdf,文献,pdfplumber,ok,pass,ingested,23,115,0,3,0,116549,1013.47,0.9826,0.0174,3,89,0,parsed_docs/Mota等_-_2024_-_Exploring_Microbial_Dynamics_The_Interaction_between_Yeasts_and_A__df529296,
Mounir 等 - 2016 - Simultaneous production of acetic and gluconic acids by a thermotolerant Acetobacter strain during a.pdf,papers/Mounir 等 - 2016 - Simultaneous production of acetic and gluconic acids by a thermotolerant Acetobacter strain during a.pdf,文献,pdfplumber,ok,pass,ingested,6,7,0,1,0,37660,5380.0,0.9881,0.0119,1,0,0,parsed_docs/Mounir_等_-_2016_-_Simultaneous_production_of_acetic_and_gluconic_acids_by_a_ther__fd419369,
Mudura 等 - 2018 - Brown beer vinegar A potentially functional product based on its phenolic profile and antioxidant a.pdf,papers/Mudura 等 - 2018 - Brown beer vinegar A potentially functional product based on its phenolic profile and antioxidant a.pdf,文献,paddleocr,ocr,pass,ingested,12,13,1,1,0,30560,2350.77,0.99,0.0103,1,0,1,parsed_docs/Mudura_等_-_2018_-_Brown_beer_vinegar_A_potentially_functional_product_based_on_i__43821716,
Muhammad 等 - 2020 - LITTER DECOMPOSITION AND SOIL NUTRIENTS PRINCE RUPPRECHT’S (LARIX PRINCIPIS-RUPPRECHTII) PLANTATIONS.pdf,papers/Muhammad 等 - 2020 - LITTER DECOMPOSITION AND SOIL NUTRIENTS PRINCE RUPPRECHT’S (LARIX PRINCIPIS-RUPPRECHTII) PLANTATIONS.pdf,文献,pdfplumber,ok,pass,ingested,18,205,0,10,0,87500,426.83,0.9658,0.0342,24,163,0,parsed_docs/Muhammad_等_-_2020_-_LITTER_DECOMPOSITION_AND_SOIL_NUTRIENTS_PRINCE_RUPPRECHT_S_L__a77b53f9,
Murooka和Yamshita - 2008 - Traditional healthful fermented products of Japan.pdf,papers/Murooka和Yamshita - 2008 - Traditional healthful fermented products of Japan.pdf,文献,pdfplumber,ok,pass,ingested,19,19,0,0,0,34592,1820.63,0.995,0.0051,0,0,0,parsed_docs/Murooka和Yamshita_-_2008_-_Traditional_healthful_fermented_products_of_Japan__19547cf5,
Mutaguchi 等 - 2013 - Distribution of D-amino acids in vinegars and involvement of lactic acid bacteria in the production.pdf,papers/Mutaguchi 等 - 2013 - Distribution of D-amino acids in vinegars and involvement of lactic acid bacteria in the production.pdf,文献,pdfplumber,ok,pass,ingested,9,50,0,3,0,38112,762.24,0.9547,0.0455,4,37,1,parsed_docs/Mutaguchi_等_-_2013_-_Distribution_of_D-amino_acids_in_vinegars_and_involvement_o__445b1c20,
Mysore 等 - 2025 - An Environmentally-Friendly RNAi Yeast-Attractive Targeted Sugar Bait Turns off the Drosophila suzuk.pdf,papers/Mysore 等 - 2025 - An Environmentally-Friendly RNAi Yeast-Attractive Targeted Sugar Bait Turns off the Drosophila suzuk.pdf,文献,pdfplumber,ok,pass,ingested,13,13,0,0,0,44069,3389.92,0.9905,0.0096,0,0,0,parsed_docs/Mysore_等_-_2025_-_An_Environmentally-Friendly_RNAi_Yeast-Attractive_Targeted_Sug__65ad219c,
Mysore 等 - 2026 - Development of an eco‐friendly RNAi yeast attractive t.pdf,papers/Mysore 等 - 2026 - Development of an eco‐friendly RNAi yeast attractive t.pdf,文献,pdfplumber,ok,pass,ingested,10,10,0,0,0,47113,4711.3,0.9965,0.0035,0,0,0,parsed_docs/Mysore_等_-_2026_-_Development_of_an_eco_friendly_RNAi_yeast_attractive_t__ab2d58f6,
Nassir和Al-Sahlany - 2021 - BIOETHANOL PRODUCTION FROM AGRICULTURAL WASTES BY ZYMOMONAS MOBILIS AND USED IN VINEGAR PRODUCTION.pdf,papers/Nassir和Al-Sahlany - 2021 - BIOETHANOL PRODUCTION FROM AGRICULTURAL WASTES BY ZYMOMONAS MOBILIS AND USED IN VINEGAR PRODUCTION.pdf,文献,pdfplumber,ok,pass,ingested,7,24,0,3,0,51036,2126.5,0.9882,0.0119,4,13,2,parsed_docs/Nassir和Al-Sahlany_-_2021_-_BIOETHANOL_PRODUCTION_FROM_AGRICULTURAL_WASTES_BY_ZYM__233fe67a,
Nie 等 - 2017 - Unraveling the correlation between microbiota succession and metabolite changes in traditional Shanx.pdf,papers/Nie 等 - 2017 - Unraveling the correlation between microbiota succession and metabolite changes in traditional Shanx.pdf,文献,pdfplumber,ok,pass,ingested,12,12,0,0,0,51013,4251.08,0.9957,0.0043,0,0,0,parsed_docs/Nie_等_-_2017_-_Unraveling_the_correlation_between_microbiota_succession_and_meta__8d39655c,
Nie等 - 2013 - Exploring microbial succession and diversity during solid-state fermentation of Tianjin duliu mature vinegar.pdf,papers/Nie等 - 2013 - Exploring microbial succession and diversity during solid-state fermentation of Tianjin duliu mature vinegar.pdf,文献,pdfplumber,ok,pass,ingested,9,90,0,2,0,62648,696.09,0.9822,0.0179,2,79,0,parsed_docs/Nie等_-_2013_-_Exploring_microbial_succession_and_diversity_during_solid-state_fe__e7195ded,
Nie等 - 2015 - Dynamics and diversity of microbial community succession in traditional fermentation of Shanxi aged vinegar.pdf,papers/Nie等 - 2015 - Dynamics and diversity of microbial community succession in traditional fermentation of Shanxi aged vinegar.pdf,文献,pdfplumber,ok,pass,ingested,7,14,0,2,0,47160,3368.57,0.9961,0.0039,2,5,0,parsed_docs/Nie等_-_2015_-_Dynamics_and_diversity_of_microbial_community_succession_in_tradit__5820bf47,
Nikolouli 等 - 2018 - Sterile insect technique and Wolbachia symbiosis as potential tools for the control of the invasive.pdf,papers/Nikolouli 等 - 2018 - Sterile insect technique and Wolbachia symbiosis as potential tools for the control of the invasive.pdf,文献,pdfplumber,ok,pass,ingested,15,15,0,0,0,69801,4653.4,0.9971,0.0029,0,0,0,parsed_docs/Nikolouli_等_-_2018_-_Sterile_insect_technique_and_Wolbachia_symbiosis_as_potenti__820d290d,
Ning 等 - 2017 - Application of a strategy based on metabolomics guided promoting blood circulation bioactivity compo.pdf,papers/Ning 等 - 2017 - Application of a strategy based on metabolomics guided promoting blood circulation bioactivity compo.pdf,文献,pdfplumber,ok,pass,ingested,12,94,0,4,0,65166,693.26,0.9689,0.0312,4,78,0,parsed_docs/Ning_等_-_2017_-_Application_of_a_strategy_based_on_metabolomics_guided_promoting__db29fa56,
Nishida 等 - 2011 - Evaluation of gastrointestinal injury and blood flow of small bowel during low-dose aspirin administ.pdf,papers/Nishida 等 - 2011 - Evaluation of gastrointestinal injury and blood flow of small bowel during low-dose aspirin administ.pdf,文献,pdfplumber,ok,pass,ingested,6,50,0,2,0,37269,745.38,0.968,0.0321,2,42,0,parsed_docs/Nishida_等_-_2011_-_Evaluation_of_gastrointestinal_injury_and_blood_flow_of_small__b41621e1,
